tick,esg
ATVI,16.84
ADBE,13.32
ALXN,19.71
GOOGL,22.85
AMZN,27.42
AMGN,20.45
ADI,26.17
ANSS,14.94
AAPL,23.65
AMAT,14.75
ADSK,19.43
ADP,12.82
BIDU,21.52
BIIB,23.45
BMRN,25.92
BKNG,19.52
AVGO,25.54
CDNS,17.04
CDW,11.08
CERN,20.12
CHTR,20.38
CHKP,20.33
CTAS,25.38
CSCO,12.35
CTXS,18.11
CTSH,21.7
CMCSA,19.67
CPRT,23.43
CSGP,26.57
COST,22.32
CSX,22.59
DXCM,27.18
DLTR,19.54
EBAY,21.44
EA,12.7
EXC,24.15
EXPE,23.43
FB,31.4
FAST,22.55
FISV,19.53
GILD,22.65
IDXX,28.29
ILMN,11.18
INCY,25.9
INTC,15.39
INTU,16.74
ISRG,30.13
KLAC,19.71
LRCX,16.97
LBTYA,18.06
LULU,13.6
MAR,24.95
MXIM,24.19
MCHP,34.05
MU,32.21
MSFT,14.94
MDLZ,25.86
MNST,33.24
NTAP,19.99
NFLX,18.05
NVDA,12.95
NXPI,19.43
ORLY,12.52
PCAR,34.96
PAYX,16.15
PYPL,17.97
PEP,21.64
QCOM,26.12
REGN,21.83
ROST,15.96
SIRI,16.98
SGEN,28.88
SWKS,31.94
SPLK,17.47
SBUX,21.08
SNPS,14.54
TSLA,31.09
TXN,17.48
KHC,33.45
TCOM,27.63
TMUS,27.09
ULTA,16.61
UAL,31.37
VRSN,23.27
VRSK,21.14
VRTX,24.84
WBA,17.33
WDC,13.75
WDAY,13.75
XEL,29.88
XLNX,22.37
